bitmap x, bitmap y, number, unicode, character, name
136,48,209,177,±,PLUS-MINUS SIGN
144,48,210,8805,≥,GREATER-THAN OR EQUAL TO
152,48,211,8804,≤,LESS-THAN OR EQUAL TO
160,48,212,8992,⌠,TOP HALF INTEGRAL
168,48,213,8993,⌡,BOTTOM HALF INTEGRAL
176,48,214,247,÷,DIVISION SIGN
184,48,215,8776,≈,ALMOST EQUAL TO
192,48,216,176,°,DEGREE SIGN
200,48,217,8729,∙,BULLET OPERATOR
208,48,218,8208,‐,HYPHEN
216,48,219,8730,√,SQUARE ROOT
224,48,220,8319,ⁿ,SUPERSCRIPT LATIN SMALL LETTER N
232,48,221,178,²,SUPERSCRIPT TWO
240,48,222,10074,❚,HEAVY VERTICAL BAR
248,48,223,9632,■,BLACK SQUARE
0,56,224,32, ,SPACE
* Above already exists *
8,56,225,9786,☺,WHITE SMILING FACE
16,56,226,9787,☻,BLACK SMILING FACE
24,56,227,9829,♥,BLACK HEART SUIT
32,56,228,9830,♦,BLACK DIAMOND SUIT
40,56,229,9827,♣,BLACK CLUB SUIT
48,56,230,9824,♠,BLACK SPADE SUIT
56,56,231,183,·,MIDDLE DOT
64,56,232,9688,◘,INVERSE BULLET
72,56,233,9675,○,WHITE CIRCLE
80,56,234,9689,◙,INVERSE WHITE CIRCLE
88,56,235,9794,♂,MALE SIGN
96,56,236,9792,♀,FEMALE SIGN
104,56,237,9834,♪,EIGHTH NOTE
112,56,238,9836,♬,BEAMED SIXTEENTH NOTES
120,56,239,9788,☼,WHITE SUN WITH RAYS
128,56,240,9538,╂,BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
136,56,241,9531,┻,BOX DRAWINGS HEAVY UP AND HORIZONTAL
144,56,242,9523,┳,BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
152,56,243,9515,┫,BOX DRAWINGS HEAVY VERTICAL AND LEFT
160,56,244,9507,┣,BOX DRAWINGS HEAVY VERTICAL AND RIGHT
168,56,245,9547,╋,BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
176,56,246,9475,┃,BOX DRAWINGS HEAVY VERTICAL
184,56,247,9473,━,BOX DRAWINGS HEAVY HORIZONTAL
192,56,248,9487,┏,BOX DRAWINGS HEAVY DOWN AND RIGHT
200,56,249,9491,┓,BOX DRAWINGS HEAVY DOWN AND LEFT
208,56,250,9495,┗,BOX DRAWINGS HEAVY UP AND RIGHT
216,56,251,9499,┛,BOX DRAWINGS HEAVY UP AND LEFT
224,56,252,9587,╳,BOX DRAWINGS LIGHT DIAGONAL CROSS
232,56,253,9585,╱,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
240,56,254,9586,╲,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
248,56,255,9535,┿,BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
